Razão Social|Nome de Pregão|Segmento|Links|Nome de Pregão:|CNPJ:|Atividade Principal:|Classificação Setorial:|Site:|Códigos de Negociação1:|Códigos de Negociação2:|Códigos de Negociação3:|Códigos de Negociação4:|Códigos de Negociação5:|Códigos de Negociação6:|Códigos de Negociação7:|Códigos de Negociação8:|Códigos de Negociação9:|Códigos de Negociação10:|Códigos de Negociação11:|Códigos de Negociação12:|Códigos de Negociação13:|Códigos ISIN1:|Códigos ISIN2:|Códigos ISIN3:|Códigos ISIN4:|Códigos ISIN5:|Códigos ISIN6:|Códigos ISIN7:|Códigos ISIN8:|Códigos CVM:
3R PETROLEUM ÓLEO E GÁS S.A|3R PETROLEUM|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25291|3R PETROLEUM|12.091.809/0001-55|Exploração E Produção de Petróleo E Gás Natural.|Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição||RRRP3|RRRP3|||||||||||| BRRRRPACNOR5  ||||||||  25291
524 PARTICIPACOES S.A.|524 PARTICIP|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16284|524 PARTICIP|01.851.771/0001-55|Holding - Participação em Outras Sociedades|Outros / Outros / Outros|http://www.524participacoes.com.br/home/index.aspx|QVQP3B|QVQP3B|||||||||||| BRQVQPACNOR1  ||||||||  16284
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A|AERIS|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25283|AERIS|12.528.708/0001-07|Exploração de Negócio de Construção E Comercialização de Pás de Rotores Para Turbinas Utilizadas Na Geração Eólica de Energia.|Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais||AERI3|AERI3|||||||||||| BRAERIACNOR4  ||||||||  25283
AES BRASIL ENERGIA S.A.|AES BRASIL|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25640|AES BRASIL|37.663.076/0001-07|Holding de Instituições Não Financeiras|Utilidade Pública / Energia Elétrica / Energia Elétrica|http://ri.aesbrasil.com.br|AESB3|AESB3|||||||||||| BRAESBACNOR7  ||||||||  25640
AES TIETE ENERGIA SA|AES TIETE E||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18970|AES TIETE E|04.128.563/0001-10|Geração E Comercialização de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|ri.aestiete.com.br|NENHUM||||||||||||| ||||||||  18970
AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A|AFLUENTE T||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22179|AFLUENTE T|10.338.320/0001-00|Transmissão de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|http://www.afluentet.com.br/|AFLT3|AFLT3|||||||||||| BRAFLTACNOR1  ||||||||  22179
ALEF S.A.|ALEF S/A|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16705|ALEF S/A|02.217.319/0001-07|Holding - Participação em Outras Sociedades|Outros / Outros / Outros|http://www.alefnet.com.br/home/index.aspx|ALEF3B|ALEF3B|||||||||||| BRALEFACNOR3  ||||||||  16705
ALFA HOLDINGS S.A.|ALFA HOLDING||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9954|ALFA HOLDING|17.167.396/0001-69|Emp. Adm. Part. - Intermediação Financeira|Financeiro / Intermediários Financeiros / Bancos|www.alfanet.com.br|RPAD3|RPAD5|RPAD6|RPAD3|RPAD5||||||||| BRRPADACNOR1| BRRPADACNPA4| BRRPADACNPB2  ||||||  9954
ALGAR TELECOM S/A|ALGAR TELEC||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21032|ALGAR TELEC|71.208.516/0001-74|Serviços de Telecomunicações em Geral|Comunicações / Telecomunicações / Telecomunicações|http://www.algartelecom.com.br|NENHUM||||||||||||| BRALGTDBS050  ||||||||  21032
ALIANSCE SONAE SHOPPING CENTERS S.A.|ALIANSCSONAE|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22357|ALIANSCSONAE|05.878.397/0001-32|Planejamento. Desenvolvimento. Implantação E Investimentos Na área Imobiliária. Nomeadamente em Shopping Centers E A Participação em Outras Sociedades E/ou em Fundos de Investimento Imobiliário.|Financeiro / Exploração de Imóveis / Exploração de Imóveis|www.sonaesierra.com.br|ALSO3|ALSO3|||||||||||| BRALSOACNOR5  ||||||||  22357
ALLIED TECNOLOGIA S.A.|ALLIED|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25330|ALLIED|20.247.322/0001-47|Desenvolvimento E Licenciamento de Plataformas Digitais Para Comercialização de Serviços de Tecnologia. Além de Soluções Logísticas E de Distribuição de Produtos.|Consumo Cíclico / Comércio / Eletrodomésticos||ALLD3|ALLD3|||||||||||| BRALLDACNOR3  ||||||||  25330
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A|ESTAPAR|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24953|ESTAPAR|60.537.263/0001-66|Outras Atividades de Publicidade Não Especificadas Anteriormente; Gestão de Ativos Intangíveis Não-financeiros; Outras Atividades de Serviços Pessoais Não Especificadas Anteriormente.|Bens Industriais / Serviços / Serviços Diversos||ALPK3|ALPK3|||||||||||| BRALPKACNOR9  ||||||||  24953
ALPARGATAS S.A.|ALPARGATAS|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=10456|ALPARGATAS|61.079.117/0001-05|Indústria E Comércio de Calçados E Artigos Esportivos|Consumo Cíclico / Tecidos. Vestuário e Calçados / Calçados|www.alpargatas.com.br|ALPA3|ALPA4|ALPA3||||||||||| BRALPAACNOR0| BRALPAACNPR7  |||||||  10456
